"Id","Context","LegacyTest","TargetLayer","Status","TargetTest","Notes"
"1","вывод (не -Info)","печатает chcp 65001 один раз в начале","Core+Wrapper","wrapper_only_by_design","","chcp output is wrapper concern; core does not emit shell preamble."
"2","вывод (не -Info)","когда нет видео — печатает REM ... и не печатает ffmpeg-команду","Core+Wrapper","covered_core","TranscodeEngineTests.Process_WhenNoVideoStream_ReturnsNoVideoRem","Mapped to explicit xUnit test in this repo."
"3","вывод (не -Info)","когда всё уже OK для .mkv — не печатает ffmpeg-команду","Core+Wrapper","covered_core","TranscodeEngineTests.Process_WhenMkvWithoutChanges_ReturnsEmptyString","Mapped to explicit xUnit test in this repo."
"4","вывод (не -Info)","с -SyncAudio даже для идеального .mkv генерирует команду sync-аудио (без igndts)","Core+Wrapper","covered_core","TranscodeEngineTests.Process_WhenSyncAudioAndStreamsAreCopyable_EncodesAudioWithSoftSanitize","Mapped to explicit xUnit test in this repo."
"5","вывод (не -Info)","когда ffprobe не вернул streams — печатает REM ffprobe failed и не печатает ffmpeg-команду","Core+Wrapper","covered_core","TranscodeEngineTests.Process_WhenProbeStreamsAreEmpty_ReturnsFfprobeFailedRem","Mapped to explicit xUnit test in this repo."
"6","Info mode","в -Info не печатает chcp и не печатает ffmpeg-команду","Core+Wrapper","wrapper_only_by_design","","No-chcp/no-ffmpeg output is wrapper concern; core is covered by info-mode behavior tests."
"7","Info mode","в -Info печатает строку отклонений с нужными маркерами (container/vcodec/audio) — table-driven","Core+Wrapper","covered_core","TranscodeEngineTests.Process_WhenInfoAndInputNeedsContainerVideoAndAudioChanges_ReturnsExpectedMarkers","Mapped to explicit xUnit test in this repo."
"8","Info mode","в -Info не показывает частоту кадров","Core+Wrapper","covered_core","TranscodeEngineTests.Process_WhenInfoAndInputNeedsContainerVideoAndAudioChanges_ReturnsExpectedMarkers","Mapped to explicit xUnit test in this repo."
"9","Info mode","в -Info выводит только имя файла (без пути)","Core+Wrapper","covered_core","TranscodeEngineTests.Process_WhenInfoAndInputNeedsContainerVideoAndAudioChanges_ReturnsExpectedMarkers","Mapped to explicit xUnit test in this repo."
"10","Info mode","в -Info при идеальном .mkv — не печатает ничего","Core+Wrapper","covered_core","TranscodeEngineTests.Process_WhenInfoAndMkvWithoutChanges_ReturnsEmptyString","Mapped to explicit xUnit test in this repo."
"11","Info mode","в -Info с -SyncAudio для идеального .mkv показывает маркер sync audio","Core+Wrapper","covered_core","TranscodeEngineTests.Process_WhenInfoAndSyncAudioRequestedForCopyableMkv_ReturnsSyncAudioMarker","Mapped to explicit xUnit test in this repo."
"12","Info mode","в -Info при ffprobe failed — печатает ': [ffprobe failed]' и не печатает ffmpeg-команду","Core+Wrapper","covered_core","TranscodeEngineTests.Process_WhenInfoAndProbeMissing_ReturnsDisplayNameWithFfprobeFailedMarker","Mapped to explicit xUnit test in this repo."
"13","Info mode","ToMkvGPU_Info_WhenDownscale576SourceBucketIsMissing_OutputsHintAndSkipsCommand","Core+Wrapper","covered_core","TranscodeEngineTests.Process_WhenInfoAndDownscale576AndSourceBucketMissing_ReturnsHintMarker","Mapped to explicit xUnit test in this repo."
"14","Info mode","ToMkvGPU_Info_WhenDownscale576SourceBucketMatrixIncomplete_OutputsHintAndSkipsCommand","Core+Wrapper","covered_core","TranscodeEngineTests.Process_WhenInfoAndDownscale576AndSourceBucketMatrixIncomplete_ReturnsHintMarker","Mapped to explicit xUnit test in this repo."
"15","I/O и post-операции","для входа НЕ .mkv генерирует out=<base>.mkv и postOp: del <in>","Core+Wrapper","covered_core","TranscodeEngineTests.Process_WhenInputIsNotMkv_UsesFinalMkvOutputAndDeletePostOperation","Mapped to explicit xUnit test in this repo."
"16","I/O и post-операции","для входа .mkv генерирует out=<base>_temp.mkv и postOp: del <in> + ren <temp> <base>.mkv","Core+Wrapper","covered_core","TranscodeEngineTests.Process_WhenInputIsMkvAndNeedsProcessing_UsesTempMkvAndRenamePostOperation","Mapped to explicit xUnit test in this repo."
"17","I/O и post-операции","кавычит пути (пробелы/спецсимволы)","Core+Wrapper","covered_core","TranscodeEngineTests.Process_WhenInputPathContainsSpaces_QuotesInputOutputAndPostOperationPaths","Mapped to explicit xUnit test in this repo."
"18","video: выбор copy vs nvenc","для copy-видео ставит: -map 0:v:0 -c:v copy","Core","covered_core","FfmpegCommandBuilderTests.Build_WhenContainerChangeWithCopyStreams_UsesCopyCodecsAndGenptsSanitize","Mapped to explicit xUnit test in this repo."
"19","video: выбор copy vs nvenc","частота кадров не форсит encode (h264 остаётся copy)","Core","covered_core","TranscodeEngineTests.Process_WhenSourceFpsIsHighAndVideoIsCopyable_DoesNotForceVideoEncode","Mapped to explicit xUnit test in this repo."
"20","video: выбор copy vs nvenc","для encode-видео (без -OverlayBg) использует h264_nvenc + vbr_hq cq 21 (default) + vbv 4M/8M + AQ/lookahead","Core","covered_core","FfmpegCommandBuilderTests.Build_WhenVideoEncodeWithoutOverlay_UsesNvencAndSourceVideoMap","Mapped to explicit xUnit test in this repo."
"21","video: выбор copy vs nvenc","для encode-видео принимает -Cq и подставляет значение","Core","covered_core","TranscodeEngineTests.Process_WhenVideoEncodeAndCqOverrideProvided_UsesOverrideValue","Mapped to explicit xUnit test in this repo."
"22","video: выбор copy vs nvenc","для encode-видео принимает -NvencPreset","Core","covered_core","TranscodeEngineTests.Process_WhenVideoEncodeAndNvencPresetOverrideProvided_UsesOverrideValue","Mapped to explicit xUnit test in this repo."
"23","video: выбор copy vs nvenc","когда encode из-за кодека: добавляет CFR и не добавляет -r 30000/1001","Core","covered_core","FfmpegCommandBuilderTests.Build_WhenVideoEncodeWithoutOverlay_UsesNvencAndSourceVideoMap","Mapped to explicit xUnit test in this repo."
"24","Downscale","ToMkvGPU_Downscale720_WhenRequested_OutputsNotImplementedError","Core","covered_core","TranscodeEngineTests.Process_WhenDownscale720Requested_ReturnsNotImplementedRem","Mapped to explicit xUnit test in this repo."
